Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
16,Callandor's Requirement,{1}{W}{W},Enchantment,,Rare,W,"At the beginning of your end step, if you control two or more Aes Sedai and an Asha'man, put a unity counter on Callandor's Requirement and create a 1/1 white Aes Sedai creature token. Then if it has three or more unity counters, you may search your library for a card named Callandor, Sword of Light, put it onto the battlefield, then shuffle.",Three must work as one.,,"Callandor,Circle,Token",Three figures channeling together,"Unified, powerful",Callandor/Synergy
17,Caravan Master,{1}{W},Creature — Human Merchant,1/3,Common,W,"Whenever a creature enters under your control, Caravan Master gets +1/+0 until end of turn.",Trade flows through many hands.,,"Merchant,Synergy",,,
18,Child of the Light,{1}{W},Creature — Human Whitecloak Soldier,2/2,Common,W,Anathema — Child of the Light gets +1/+0 as long as an opponent controls a Channeler.,The cloak is white so the blood of witches shows.,,"Whitecloak,Anathema",Child of the Light — Human Whitecloak Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
19,Courage Rekindled,{1}{W},Sorcery,,Common,W,Create a 1/1 white Soldier token. Weave.,Even the smallest light drives back the darkness.,,"Token,Weaving","Inspired hero standing tall, raising banner","Hopeful, rallying",Token/White
20,"Dain Bornhald, Vengeful Captain",{W}{W},Legendary Creature — Human Whitecloak Knight,2/2,Uncommon,W,First strike. Dain Bornhald gets +2/+0 as long as an opponent controls a Wolf.,"'Goldeneyes.' He said the name like a curse, because to him it was one.",First strike,"Whitecloak,Combat","Dain Bornhald, Vengeful Captain — Human Whitecloak Knight from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
21,Defender of the Stone,{1}{W},Creature — Human Soldier,1/4,Common,W,,The Stone of Tear never fell — until prophecy said otherwise.,,Soldier,Defender of the Stone — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
22,Denounce the Witch,{1}{W},Enchantment — Aura,,Common,W,"Enchant creature. Enchanted creature can't attack or block, and its activated abilities can't be activated. When Denounce the Witch enters, if enchanted creature is a Channeler, you gain 2 life.","'Darkfriend' is a verdict, not a question.",,"Whitecloak,Removal,Anathema",Denounce the Witch — Aura from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
23,Divine Protection,{1}{W},Instant,,Common,W,Prevent the next 2 damage that would be dealt to target creature or player this turn.,The Light shields the faithful.,,Protection,Shimmering white barrier forming,"Protective, ethereal",Protection/White
24,Elaida do Avriny a'Roihan,{2}{W},Legendary Creature — Human Aes Sedai,3/3,Rare,W,"Aes Sedai you control get +1/+0. At the beginning of your upkeep, if you control no other legendary creatures, draw a card.",Her Foretelling was true. Her every conclusion from it was wrong.,,"Channeler,Anthem",Elaida do Avriny a'Roihan — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
25,"Elayne Trakand, Queen of Andor",{2}{W}{W},Legendary Creature — Human Noble,3/3,Rare,W,"Whenever you weave, create a 1/1 white Soldier token. {W}{W}: Elayne gets +0/+1 until end of turn.",The golden lily does not wilt.,,"Legendary,Female,Weaving,Token",Noble woman in gold and white regalia,"Regal, commanding",Rare/Female
26,Fortress Chaplain,{2}{W},Creature — Human Whitecloak Cleric,2/2,Common,W,"Whenever Fortress Chaplain or another Whitecloak you control enters, you gain 1 life.",,,"Whitecloak,Lifegain",Fortress Chaplain — Human Whitecloak Cleric from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
27,"Gareth Bryne, Great Captain",{2}{W},Legendary Creature — Human Soldier,3/3,Uncommon,W,"Other Soldiers you control get +1/+0. Whenever Gareth Bryne attacks, create a 1/1 white Soldier creature token that's tapped and attacking.",,,"Soldier,Token","Gareth Bryne, Great Captain — Human Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Soldier
28,Gentle the Flows,{2}{W},Instant,,Common,W,"Tap up to two target creatures. If either is a Channeler, you gain 2 life.",,,"Removal,Anathema",Gentle the Flows — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
29,"Geofram Bornhald, Honorable Captain",{2}{W},Legendary Creature — Human Whitecloak Knight,2/3,Uncommon,W,"Other Whitecloaks you control get +0/+1. When Geofram Bornhald dies, create two 1/1 white Whitecloak Soldier creature tokens.",At Falme he led the charge himself. His legion followed him into legend.,,"Whitecloak,Token","Geofram Bornhald, Honorable Captain — Human Whitecloak Knight from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
30,Gray Ajah Envoy,{2}{W},Creature — Human Aes Sedai,1/3,Common,W,"When Gray Ajah Envoy enters, tap target creature an opponent controls. Weave.",,,"Weaving,Channeler,Tempo",Gray Ajah Envoy — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
31,Healing Hands,{1}{W},Instant,,Common,W,Target creature gets +0/+2 and lifelink until end of turn.,The One Power mends all wounds.,,"Pump,Healing",,,
32,Healing Touch,{1}{W},Instant,,Common,W,Target creature gets +1/+1 and lifelink until end of turn.,The One Power mends what was broken.,,"Pump,Healing",Warm white light enveloping a creature,"Comforting, vital",Pump/White
33,Healing Ward,{1}{W},Enchantment — Aura,,Common,W,Enchant creature. Enchanted creature gains '{W}: Enchanted creature gets +0/+1 until end of turn.',The Tower's blessing on its champions.,,"Aura,Healing",Soft white light surrounding a creature,"Protective, comforting",Aura/White
34,Holy Ground,{1}{W},Enchantment,,Common,W,"Whenever a creature you control enters, you gain 1 life. Pattern 3 — Instead you gain 2 life.",Blessed places repel the Shadow.,,"Weaving,Lifegain",,,
35,Honored Dead,{1}{W},Creature — Human Spirit,2/2,Uncommon,W,"Whenever Honored Dead attacks, you gain 1 life. {W}: Honored Dead gets +1/+0 until end of turn.",They stand eternal in memory.,,"Spirit,Gain Life,Synergy",,,
36,Honored Defender,{1}{W},Creature — Human Knight,2/2,Rare,W,"Whenever Honored Defender blocks, it gets +1/+3 until end of turn. {W}: Tap target creature.",The knight stands firm.,,"Knight,Defense",,,
37,Kin Healer,{W},Creature — Human Channeler,1/1,Common,W,{T}: You gain 1 life.,The Tower never found them all.,,"Channeler,Lifegain",Kin Healer — Human Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
38,Light's Judgment,{2}{W},Sorcery,,Common,W,Destroy target black creature. You gain 2 life.,The Light strikes down darkness.,,"Removal,Healing",,,
39,Light's Justice,{1}{W},Instant,,Common,W,Destroy target creature with power 3 or greater. You lose 3 life.,Justice demands sacrifice.,,"Removal,Sacrifice",White light striking down a powerful creature,"Righteous, devastating",Removal/White
40,Light's Verdict,{2}{W},Instant,,Common,W,Exile target tapped creature.,,,Removal,Light's Verdict — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
41,Mayener Winged Guard,{1}{W},Creature — Human Knight,2/2,Common,W,Mayener Winged Guard gets +0/+2 as long as it's blocking.,,,Soldier,Mayener Winged Guard — Human Knight from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
42,"Min Farshaw, Seer of Patterns",{1}{W},Legendary Creature — Human Advisor,1/3,Uncommon,W,"{T}: Scry 2. Pattern 3 — {T}: Scry 2, then draw a card.",She sees the images around everyone. She has learned to hate being right.,,"Weaving,Scry","Min Farshaw, Seer of Patterns — Human Advisor from the Wheel of Time","Painterly fantasy, dramatic light",Weaving
43,"Morgase Trakand, Queen in Exile",{2}{W},Legendary Creature — Human Noble,2/3,Uncommon,W,"Other Humans you control get +0/+1. When Morgase enters, create a 1/1 white Soldier creature token.","They called her Maighdin, and never guessed a queen was pouring their wine.",,"Token,Anthem","Morgase Trakand, Queen in Exile — Human Noble from the Wheel of Time","Painterly fantasy, dramatic light",Token
44,Mounted Patrol,{3}{W},Creature — Human Whitecloak Knight,3/3,Common,W,Vigilance.,The roads of Amadicia are safe. The Children make very sure of it.,Vigilance,Whitecloak,Mounted Patrol — Human Whitecloak Knight from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
45,Novice,{W},Creature — Human Aes Sedai,1/2,Common,W,"Novice can't attack. {W}: Novice gets +1/+0 until end of turn. When Novice dies, weave.",Every Aes Sedai began here.,,Defensive,"Young novice in white dress, studying intently","Innocent, studious",Defensive/White
46,Palace Guards,{1}{W},Creature — Human Soldier,2/2,Common,W,"Whenever Palace Guards attacks, each opponent loses 1 life.",Caemlyn's finest defenders.,,"Soldier,Drain",,,
47,Pattern Breaks,{1}{W},Sorcery,,Uncommon,W,Destroy target artifact or enchantment. Weave.,Some threads must be cut for the Pattern to hold.,,"Weaving,Removal",,,
48,Pattern Unravels,{2}{W}{W},Sorcery,,Uncommon,W,Create three 1/1 white Soldier tokens. All creatures gain lifelink until end of turn.,The Pattern frays.,,"Token,Soldier,Lifelink",,,
49,Pattern's Blessing,{2}{W},Sorcery,,Common,W,All creatures you control gain lifelink until end of turn. You gain 1 life for each creature you control.,The Pattern smiles upon the faithful.,,"Pump,Lifelink,Gain Life",,,
50,Pattern's Tapestry,{2}{W},Enchantment,,Rare,W,"Whenever you weave, put a tapestry counter on Pattern's Tapestry. Then if it has five or more tapestry counters, remove them and create a 3/3 white Construct creature token.",The Pattern weaves all threads.,,"Weaving,Token,Synergy",,,
51,Queen's Guard of Andor,{2}{W},Creature — Human Soldier,2/3,Common,W,Vigilance.,The Rose Crown does not bend.,Vigilance,Soldier,Queen's Guard of Andor — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
52,Questioner Initiate,{1}{W},Creature — Human Whitecloak Cleric,1/3,Common,W,"When Questioner Initiate enters, tap target creature an opponent controls.",First the questions. The instruments come later.,,"Whitecloak,Tempo",Questioner Initiate — Human Whitecloak Cleric from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
53,"Rodel Ituralde, the Little Wolf",{2}{W},Legendary Creature — Human Soldier,2/4,Uncommon,W,"Creatures attacking you get -1/-0. Whenever a creature attacks you, put a +1/+1 counter on Rodel Ituralde.",He has never lost a defense. The Shadow keeps testing the record.,,Defense,"Rodel Ituralde, the Little Wolf — Human Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Defense
54,Seanchan Conquest,{2}{W},Sorcery,,Common,W,Create a 2/2 white Soldier creature token. You gain 2 life.,All must kneel before the Seanchan.,,"Token,Soldier,Damage",,,
55,Shadowbane,{1}{W},Sorcery,,Common,W,Destroy target black creature.,Light dispels Shadow.,,Removal,"White light blazing through darkness, shadows fleeing","Radiant, cleansing",Removal/White
56,Shining Walls Veteran,{2}{W},Creature — Human Soldier,3/3,Uncommon,W,Vigilance. Anathema — Shining Walls Veteran has ward {1} as long as an opponent controls a Channeler.,,"Vigilance, Ward","Soldier,Anathema",Shining Walls Veteran — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
57,Stand Against the Shadow,{2}{W},Instant,,Rare,W,Creatures you control gain indestructible until end of turn. Weave.,,,"Weaving,Protection",Stand Against the Shadow — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
58,Stilled,{1}{W}{W},Instant,,Rare,W,Target creature loses all abilities and has base power and toughness 1/1. (This effect doesn't end.),There is no crueler sentence for one who has held the Power.,,Removal,Stilled — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
59,Strength of Conviction,{2}{W},Enchantment — Aura,,Uncommon,W,"Enchant creature. Enchanted creature gets +1/+3 and has 'Whenever this creature blocks, you gain 1 life.'",Faith made manifest.,,"Aura,Defense",,,
60,"Tam al'Thor, Blademaster of the Two Rivers",{1}{W},Legendary Creature — Human Warrior,2/2,Uncommon,W,"Flash. When Tam enters, target creature you control gets +1/+1 and gains first strike until end of turn.","The flame, and the void. Everything else waits outside.",Flash,Combat,"Tam al'Thor, Blademaster of the Two Rivers — Human Warrior from the Wheel of Time","Painterly fantasy, dramatic light",Combat
61,The Pattern Weaves,{2}{W},Sorcery,,Common,W,Create two 1/1 white Soldier tokens. Weave twice.,All things flow toward destiny.,,"Weaving,Token",,,
62,The Prophecies of the Dragon,{2}{W},Enchantment,,Uncommon,W,"At the beginning of your upkeep, if you control a legendary creature, scry 1. Pattern 5 — Instead draw a card.",,,"Weaving,Advantage",The Prophecies of the Dragon — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
63,The Three Oaths,{1}{W}{W},Enchantment,,Rare,W,Creatures you control get +0/+2 and have vigilance. Creatures you control can't attack a player unless that player attacked you or a permanent you controlled since your last turn.,To speak no word that is not true. To make no weapon. To use the Power as a weapon only in defense.,,"Defense,Anthem",The Three Oaths — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Defense
64,The Way of the Light,{2}{W},Enchantment,,Uncommon,W,"Whitecloaks you control get +1/+1. Pattern 3 — This enchantment loses all other abilities and gains ""Creatures you control get +1/+1."" (Even the Children may yet serve something greater.)",Lothair Mantelar wrote of serving the Light. His heirs wrote their own chapters.,,"Whitecloak,Anthem,Weaving",The Way of the Light — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
65,Tower Defense,{2}{W}{W},Sorcery,,Rare,W,"All creatures you control get +1/+2 until end of turn. Whenever a creature you control blocks, you gain 2 life.",The Tower stands eternal.,,"Pump,Defense,Gain Life",,,
66,Tower Guard,{1}{W},Creature — Human Soldier,2/2,Common,W,"Whenever a creature enters under your control, Tower Guard gets +1/+1 until end of turn.",Defenders of Tar Valon.,,Synergy,Armored guard in white and yellow Tower livery,"Strong, protective",Synergy/Soldier
67,Tower Guard Sergeant,{2}{W},Creature — Human Soldier,2/3,Common,W,"Vigilance. Whenever you weave, Tower Guard Sergeant gets +1/+0 until end of turn.",,Vigilance,"Weaving,Soldier",Tower Guard Sergeant — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
68,Tower Student,{W},Creature — Human Aes Sedai,1/1,Uncommon,W,"Whenever you weave, Tower Student gets +1/+1 until end of turn. {W}: Tower gets +0/+1 until end of turn.",Learning the One Power's mysteries.,,"Aes Sedai,Female,Weaving",,,
69,Tower's Authority,{2}{W}{W},Enchantment,,Uncommon,W,Aes Sedai you control get +1/+1. Pattern 5 — They also have vigilance and lifelink.,The Tower extends its reach.,,"Weaving,Anthem",,,
70,Trial Beneath the Light,{1}{W},Sorcery,,Uncommon,W,Target creature you control gets +1/+1 until end of turn if it's a Whitecloak. Then it fights target creature an opponent controls.,"Single combat, before the Light and the assembled Children. There is no appeal.",,"Whitecloak,Removal",Trial Beneath the Light — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
71,Warder in Training,{1}{W},Creature — Human Warder,2/1,Common,W,Warder in Training gets +0/+2 as long as you control an Aes Sedai.,,,Warder,Warder in Training — Human Warder from the Wheel of Time,"Painterly fantasy, dramatic light",Warder
72,White Ajah Logician,{1}{W},Creature — Human Aes Sedai,1/2,Uncommon,W,"Whenever you weave for the first time each turn, put a +1/+1 counter on White Ajah Logician.",,,"Weaving,Channeler",White Ajah Logician — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
73,White Tower Alliance,{1}{W},Enchantment,,Common,W,"Whenever you cast a white spell, create a 1/1 white Aes Sedai token. All Aes Sedai creatures get +0/+1.",United in purpose.,,"Synergy,Token,Aes Sedai",,,
74,White Tower Healer,{W},Creature — Human Cleric,2/1,Common,W,{W}: Target creature gains lifelink until end of turn.,Yellow Ajah's greatest gift.,,Healing,"Woman with gentle hands and white robes, healing light","Compassionate, vital",Healing/White
75,Whitebridge Soldier,{1}{W},Creature — Human Soldier,2/2,Common,W,"When Whitebridge Soldier enters, gain 1 life.",Keepers of the greatest bridge in the world.,,Life Gain,Soldier standing on magnificent stone bridge,"Stoic, stalwart",Life Gain/Soldier
76,Whitecloak Lancer,{2}{W},Creature — Human Whitecloak Knight,3/1,Common,W,First strike.,"A thousand lances in perfect line, and the sunburst blazing above them.",First strike,Whitecloak,Whitecloak Lancer — Human Whitecloak Knight from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
77,Whitecloak Outrider,{1}{W},Creature — Human Whitecloak Scout,2/1,Common,W,Whitecloak Outrider can't be blocked by Channelers.,,,"Whitecloak,Anathema",Whitecloak Outrider — Human Whitecloak Scout from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
78,Whitecloak Standard-Bearer,{1}{W},Creature — Human Whitecloak Soldier,1/2,Common,W,"When Whitecloak Standard-Bearer enters, Whitecloaks you control get +1/+1 until end of turn.",,,"Whitecloak,Combat",Whitecloak Standard-Bearer — Human Whitecloak Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
79,Wisdom's Shield,{2}{W}{W},Enchantment,,Rare,W,"Creatures you control have lifelink. Whenever you gain life, create a 1/1 white Soldier token.",Order brings strength and healing.,,"Synergy,Gain Life,Token",,,
80,Yellow Ajah Mender,{1}{W},Creature — Human Aes Sedai,1/2,Common,W,"When Yellow Ajah Mender enters, you gain 2 life and weave.",,,"Weaving,Channeler,Lifegain",Yellow Ajah Mender — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
81,Zeal of the Light,{W},Instant,,Common,W,"Target creature gets +2/+2 until end of turn. If an opponent controls a Channeler, it gets +3/+3 until end of turn instead.",,,"Whitecloak,Anathema,Combat",Zeal of the Light — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
82,Accepted of the White Tower,{1}{U},Creature — Human Channeler,1/3,Common,U,"Whenever you weave, Accepted of the White Tower gets +1/+0 until end of turn.",,,"Weaving,Channeler",Accepted of the White Tower — Human Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
83,Ask the Aelfinn,{2}{U}{U},Sorcery,,Uncommon,U,"Scry 3, then draw two cards. (Answers come in threes — and frivolous questions are dealt with harshly.)",,,Draw,Ask the Aelfinn — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Draw
84,Atha'an Miere Navigator,{1}{U},Creature — Human Scout,2/2,Uncommon,U,"Whenever Atha'an Miere enters, you may search your library for a land card and put it into your hand. Shuffle.",The Sea Folk navigate by the stars.,,"Scout,Tutor",,,
85,Atha'an Miere Sailor,{1}{U},Creature — Human Scout,1/2,Common,U,"Whenever you cast a blue spell, create a 1/1 blue Sailor token.",Masters of the waves.,,Token Generation,"Weather-worn sailor woman, ship and ocean behind","Experienced, salty",Token/Blue
86,Atha'an Miere Scout,{1}{U},Creature — Human Scout,1/2,Common,U,"{T}: Add {U}. If you've woven three or more times, add {U}{U} instead.",Sea Folk navigate by wind and knowledge.,,Mana Dork,"Woman with darkly tanned skin, exotic clothing, ocean background","Mysterious, traveled",Mana Dork/Blue
87,Atha'an Miere Wavemistress,{2}{U},Creature — Human Windfinder,2/3,Uncommon,U,"Whenever you weave, scry 1.",,,"Weaving,Channeler,Scry",Atha'an Miere Wavemistress — Human Windfinder from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
88,Blue Ajah Insight,{1}{U}{U},Enchantment,,Uncommon,U,"Whenever you weave for the first time each turn, draw a card. Pattern 5 — Whenever you weave, you gain 1 life.",Knowledge flows without end.,,"Weaving,Draw",,,
89,Blue Ajah Scholar,{1}{U},Creature — Human Aes Sedai,1/3,Common,U,{U}: Blue Ajah Scholar gets +0/+1 until end of turn.,Knowledge flows through them.,,Defense/Blue,Woman in blue robes surrounded by floating text and knowledge,"Intellectual, calm",Knowledge/Blue
90,Blue Tower Archives,{2}{U},Enchantment,,Uncommon,U,"Whenever you cast a blue spell, draw a card, then discard a card.",Knowledge flows without end.,,"Synergy,Draw,Weaving",,,
91,Blue Tower Scribe,{U},Creature — Human Aes Sedai,1/1,Common,U,"Whenever you cast a blue spell, draw a card, then discard a card.",Recording all knowledge for posterity.,,"Synergy,Draw",Scribe writing in flowing script,"Intellectual, busy",Draw/Synergy
92,Blue Tower's Instruction,{1}{U},Instant,,Common,U,Draw a card. Create a 1/1 blue Aes Sedai token.,Knowledge and action combined.,,"Draw,Token,Aes Sedai",,,
93,Brown Ajah Researcher,{2}{U},Creature — Human Aes Sedai,1/3,Common,U,"{U}, {T}: Draw a card, then discard a card.",,,"Channeler,Loot",Brown Ajah Researcher — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
94,Cairhienin Schemer,{U},Creature — Human Advisor,1/1,Common,U,"When Cairhienin Schemer dies, draw a card.","In Cairhien, even funerals are moves in the Game.",,Draw,Cairhienin Schemer — Human Advisor from the Wheel of Time,"Painterly fantasy, dramatic light",Draw
95,Channeler's Strength,{1}{U},Enchantment — Aura,,Common,U,"Enchant creature that is a Channeler or Aes Sedai. Enchanted creature gets +1/+3 and has 'Whenever this creature deals damage, you draw a card.'",The One Power makes strong.,,"Aura,Channeler,Draw",,,
96,Collar Training,{2}{U},Sorcery,,Common,U,"Leash target creature with mana value 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) Scry 1.",,,"Leash,Scry",Collar Training — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Leash
97,Counter the Shadow,{1}{U},Instant,,Common,U,{U}{U}: Counter target black spell.,Knowledge defeats ignorance.,,Counter,,,
98,Cut the Weave,{1}{U}{U},Instant,,Rare,U,"Counter target spell. If it was a Channeler spell or its controller wove this turn, draw a card.",Sever the flows and the whole lattice comes apart.,,"Counter,Weaving",Cut the Weave — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Counter
99,Daes Dae'mar Adept,{2}{U},Creature — Human Advisor,2/1,Uncommon,U,"Whenever an opponent casts a noncreature spell, you may draw a card, then discard a card.",,,Advantage,Daes Dae'mar Adept — Human Advisor from the Wheel of Time,"Painterly fantasy, dramatic light",Advantage
100,Dream Sequence,{2}{U},Instant,,Common,U,"Draw two cards, then put a card from your hand on top of your library.","In dreams, all things shift.",,Draw,,,
101,Dream Walk,{1}{U},Instant,,Common,U,Return target creature to its owner's hand. Scry 1.,"In dreams, possibilities are endless.",,"Return,Dreams",Creature fading into blue dream mist,"Ethereal, shifting",Dreams/Blue
102,Dream Walker,{1}{U},Creature — Human Aes Sedai,1/1,Common,U,"Whenever you cast an instant or sorcery spell, put a +1/+1 counter on Dream Walker.",Tel'aran'rhiod reveals truth to those who dare.,,"Weaving,Dreams",Woman's form fading into blue mist and dreamscape,"Ethereal, mysterious",Dreams/Blue
103,Dream's End,{1}{U},Instant,,Common,U,Return target creature to the top of your library. Draw a card.,Even dreams must fade.,,"Return,Draw",,,
104,Dreaming Forward,{2}{U}{U},Sorcery,,Rare,U,You may search your library for a card and put it on top of your library. Draw three cards. Weave.,The future reveals itself.,,"Weaving,Tutor,Draw",,,
105,Dreams of Glory,{1}{U},Enchantment,,Common,U,"At the beginning of your upkeep, scry 1. Pattern 3 — At the beginning of your upkeep, you may draw a card instead.",Tel'aran'rhiod rewards those who seek.,,"Weaving,Scry,Draw",,,
106,Dreamwalker Adept,{2}{U},Creature — Human Channeler,2/2,Uncommon,U,"Flash. When Dreamwalker Adept enters, weave.",,Flash,"Weaving,Channeler",Dreamwalker Adept — Human Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
107,Eternal Twilight,{2}{U}{U},Sorcery,,Uncommon,U,"Draw three cards. At the beginning of your end step, discard two cards.",Neither day nor night.,,Draw,,,
108,Foretelling,{U},Sorcery,,Common,U,Scry 3.,,,Scry,Foretelling — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Scry
109,Foretelling Sister,{2}{U}{U},Creature — Human Aes Sedai,2/3,Rare,U,"At the beginning of your upkeep, scry 2. Pattern 5 — Instead draw a card.",,,"Weaving,Channeler,Draw",Foretelling Sister — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
